ID,CustNum,Last Name,Product Name,Transaction Type,Innovative, Total Sales 
30001,CN000032,Estrada,Phono Preamps,online,Standard, 275.67 
30002,CN000032,Estrada,Photographic Analyzers,online,Standard, 141.32 
30003,CN000032,Estrada,Photographic Enlargers,online,Standard," 1,194.60 "
30004,CN000032,Estrada,Portable Showers & Privacy Enclosures,online,Standard, 585.50 
30005,CN000032,Estrada,Portable Toilets & Urination Devices,online,Standard, 188.56 
30006,CN000032,Estrada,Printer Filters,online,Standard, 509.45 
30007,CN000032,Estrada,Printer Maintenance Kits,online,Standard, 661.28 
30008,CN000032,Estrada,Printer Ribbons,online,Standard, 73.04 
30009,CN000032,Estrada,Projection Screen Stands,online,Standard," 1,450.59 "
30010,CN000032,Estrada,Projector Mounts,online,Standard, 208.61 
30011,CN000032,Estrada,Recorders,online,Standard, 548.66 
30012,CN000032,Estrada,Saxophone Accessories,online,Standard, 723.92 
30013,CN000032,Estrada,Saxophones,online,Standard, 400.68 
30014,CN000032,Estrada,Scrapbooking & Stamping Kits,online,Standard, 648.54 
30015,CN000032,Estrada,Sewing Baskets & Kits,online,Standard, 797.63 
30016,CN000032,Estrada,Sewing Machine Extension Tables,online,Standard, 203.31 
30017,CN000032,Estrada,Sewing Machine Feet,online,Standard, 797.31 
30018,CN000032,Estrada,Sewing Machine Replacement Parts,online,Standard, 49.41 
30019,CN000032,Estrada,Sewing Patterns,online,Standard, 557.82 
30020,CN000032,Estrada,Sheet Music Clips,online,Standard, 115.68 
30021,CN000032,Estrada,Sheet Music Clips,store,Standard, 192.80 
30022,CN000032,Estrada,Shuttlecocks,online,Standard, 381.80 
30023,CN000032,Estrada,Skate Helmets,online,Standard, 947.83 
30024,CN000032,Estrada,Skateboard Trucks,online,Standard, 681.84 
30025,CN000032,Estrada,Skateboard Wheels,online,Standard, 540.80 
30026,CN000032,Estrada,Skateboarding Pads,online,Standard, 392.20 
30027,CN000032,Estrada,Snare Drums,online,Standard, 262.44 
30028,CN000032,Estrada,Softboxes,online,Standard, 6.94 
30029,CN000032,Estrada,Speaker Stand Bags,online,Standard, 23.30 
30030,CN000032,Estrada,Speaker Stands & Mounts,online,Standard, 217.44 
30031,CN000032,Estrada,Special Pens,online,Standard," 3,667.84 "
30032,CN000032,Estrada,Sports Fan Accessories,online,Standard, 873.96 
30033,CN000032,Estrada,String Instrument Care & Cleaning,online,Standard, 794.66 
30034,CN000032,Estrada,Sustain Pedals,online,Standard, 588.60 
30035,CN000032,Estrada,Sustain Pedals,store,Standard, 179.46 
30036,CN000032,Estrada,Tablet Computer Batteries,online,Standard, 19.25 
30037,CN000032,Estrada,Tactile Transducers,online,Standard, 299.76 
