ID,CustNum,Last Name,Product Name,Transaction Type,Innovative, Total Sales 
10022,CN000121,Pornpipatpong,Drawing & Painting Kits,online,Standard, 446.93 
10021,CN000121,Pornpipatpong,Musical Keyboard Bags & Cases,online,Standard, 89.44 
10020,CN000122,Perry,Bicycle Training Wheels,online,Standard, 650.40 
10019,CN000122,Perry,Craft Decoration Makers,online,Standard, 149.40 
10018,CN000122,Perry,Drum Keys,online,Standard, 547.70 
10017,CN000122,Perry,Equalizers,store,Standard, 692.56 
10016,CN000122,Perry,Memory Foam Seat Cushion (Innovative),online,Innovative, 559.50 
10015,CN000124,Pichler,Game Controller Accessories,online,Standard, 1.46 
10014,CN000128,Menon,Air Mattress & Sleeping Pad Accessories,online,Standard, 241.50 
10013,CN000128,Menon,Air Mattresses,online,Standard," 1,177.87 "
10012,CN000128,Menon,Alto & Baritone Horns,online,Standard, 800.20 
10011,CN000128,Menon,Art & Craft Paper,online,Standard, 701.50 
10010,CN000128,Menon,Autographed Sports Paraphernalia,online,Standard, 115.06 
10009,CN000128,Menon,Badminton Nets,online,Standard, 376.11 
10008,CN000128,Menon,Badminton Racquets & Sets,online,Standard," 1,114.86 "
10007,CN000128,Menon,Basketball Nets,online,Standard, 782.24 
10006,CN000128,Menon,Bassoons,online,Standard, 390.32 
10005,CN000128,Menon,Battery Holders,online,Standard, 538.44 
10004,CN000128,Menon,Bicycle Bags & Panniers,online,Standard, 195.78 
10003,CN000128,Menon,Bicycle Bells & Horns,online,Standard, 553.20 
10002,CN000128,Menon,Bicycle Cages,online,Standard, 51.63 
10001,CN000128,Menon,Bicycle Child Seat Accessories,online,Standard, 4.38 
10000,CN000128,Menon,Bicycle Gloves,online,Standard," 1,003.86 "
