ID,CustNum,Last Name,Product Name,Transaction Type,Innovative, Total Sales 
10001,CN000003,Gruber,Air Mattress & Sleeping Pad Accessories,online,Standard, 446.54 
10002,CN000003,Gruber,Air Mattresses,online,Standard, 443.22 
10003,CN000003,Gruber,Alto & Baritone Horns,online,Standard, 177.82 
10004,CN000003,Gruber,Badminton Nets,online,Standard, 626.88 
10005,CN000003,Gruber,Badminton Racquets & Sets,online,Standard, 72.05 
10006,CN000003,Gruber,Barcode Scanner Stands,online,Standard, 58.74 
10007,CN000003,Gruber,Basketball Backboards,online,Standard," 1,831.95 "
10008,CN000003,Gruber,Basketball Hoop Posts,online,Standard, 260.07 
10009,CN000003,Gruber,Basketball Rims,online,Standard, 256.53 
10010,CN000003,Gruber,Bassoon Accessories,online,Standard, 317.73 
10011,CN000003,Gruber,Bassoons,online,Standard, 379.08 
10012,CN000003,Gruber,Battery Charge Controllers,online,Standard, 79.18 
10013,CN000003,Gruber,Bicycle Baskets,online,Standard, 38.82 
10014,CN000003,Gruber,Bicycle Cages,online,Standard, 487.92 
10015,CN000003,Gruber,Bicycle Child Seat Accessories,online,Standard, 26.11 
10016,CN000003,Gruber,Bicycle Gloves,online,Standard, 475.97 
10017,CN000003,Gruber,Bicycle Helmets,online,Standard, 28.80 
10018,CN000003,Gruber,Bicycle Locks,online,Standard, 280.65 
10019,CN000003,Gruber,Bicycle Mirrors,online,Standard, 322.30 
10020,CN000003,Gruber,Bicycle Protective Pads,online,Standard, 132.27 
10021,CN000003,Gruber,Bicycle Pumps,online,Standard, 241.97 
10022,CN000003,Gruber,Bicycle Shoe Covers,online,Standard, 182.84 
10023,CN000003,Gruber,Bicycle Training Wheels,online,Standard, 273.84 
10024,CN000003,Gruber,Blocking Mats,online,Standard, 151.20 
10025,CN000003,Gruber,Blocking Wires,online,Standard, 212.68 
10026,CN000003,Gruber,Brass Instrument Straps & Stands,online,Standard, 57.38 
10027,CN000003,Gruber,Camera Batteries,online,Standard, 50.52 
10028,CN000003,Gruber,Candle Making Kits,online,Standard, 138.04 
10029,CN000003,Gruber,Cellos,online,Standard, 78.32 
10030,CN000003,Gruber,Collectible Banknotes,online,Standard, 308.13 
10031,CN000003,Gruber,Collectible Guns,online,Standard, 83.30 
10032,CN000003,Gruber,Collectible Knives,online,Standard, 193.62 
10033,CN000003,Gruber,Color Mixing Tools,online,Standard, 57.35 
10034,CN000003,Gruber,Contract Mobile Phones,online,Standard, 66.72 
10035,CN000003,Gruber,Copystands,online,Standard, 692.34 
