ID,CustNum,Last Name,Product Name,Transaction Type,Innovative, Total Sales 
60001,CN000119,Logan,Audio Samplers,online,Standard, 810.75 
60002,CN000119,Logan,Audio Samplers,store,Standard, 265.37 
60003,CN000119,Logan,Autographed Sports Paraphernalia,online,Standard, 304.10 
60004,CN000119,Logan,Badminton Nets,online,Standard, 104.48 
60005,CN000119,Logan,Barcode Scanner Stands,online,Standard, 370.98 
60006,CN000119,Logan,Barcode Scanners,online,Standard, 129.78 
60007,CN000119,Logan,Barcode Scanners,store,Standard, 129.78 
60008,CN000119,Logan,Basketball Backboards,online,Standard, 884.97 
60009,CN000119,Logan,Basketball Hoop Padding,online,Standard, 419.22 
60010,CN000119,Logan,Basketball Hoop Padding,store,Standard, 155.28 
60011,CN000119,Logan,Basketball Hoop Posts,online,Standard," 2,379.66 "
60012,CN000119,Logan,Basketball Nets,online,Standard," 2,473.76 "
60013,CN000119,Logan,Basketball Nets,store,Standard, 293.34 
60014,CN000119,Logan,Basketball Rims,online,Standard," 1,171.46 "
60015,CN000119,Logan,Bass Drums,online,Standard," 1,298.92 "
60016,CN000119,Logan,Bassoon Accessories,online,Standard, 193.50 
60017,CN000119,Logan,Bassoons,online,Standard," 1,820.74 "
60018,CN000119,Logan,Battery Holders,online,Standard," 1,005.12 "
60019,CN000119,Logan,Beading Patterns,online,Standard, 487.38 
