ID,CustNum,Last Name,Product Name,Transaction Type,Innovative, Total Sales 
80001,CN000035,Foster,Autographed Sports Paraphernalia,online,Standard, 133.92 
80002,CN000035,Foster,Bass Drums,online,Standard, 354.40 
80003,CN000035,Foster,Bicycle Gloves,online,Standard, 441.36 
80004,CN000035,Foster,Binder Rings,store,Standard, 194.60 
80005,CN000035,Foster,Bulletin Board Trim,online,Standard, 444.80 
80006,CN000035,Foster,Camera Batteries,online,Standard, 148.17 
80007,CN000035,Foster,Collectible Swords,online,Standard, 184.53 
80008,CN000035,Foster,E-Book Reader Screens & Screen Digitizers,online,Standard, 858.80 
80009,CN000035,Foster,ErgoPlus Stool (Innovative),online,Innovative," 13,872.00 "
80010,CN000035,Foster,Focusing Aids,online,Standard, 308.64 
80011,CN000035,Foster,Game Controllers,store,Standard, 18.86 
80012,CN000035,Foster,Gift Boxes & Tins,online,Standard, 152.88 
80013,CN000035,Foster,Hard Drive Circuit Boards,online,Standard, 891.11 
80014,CN000035,Foster,Memory Foam Seat Cushion (Innovative),online,Innovative, 235.56 
80015,CN000035,Foster,Mobile Phone Pocket Tripod (Innovative),online,Innovative, 208.44 
80016,CN000035,Foster,MP3 Player Cases,online,Standard, 731.52 
80017,CN000035,Foster,Printer Maintenance Kits,online,Standard, 91.84 
80018,CN000035,Foster,Safety Pins,online,Standard, 942.12 
80019,CN000035,Foster,Sewing Machine Extension Tables,online,Standard, 650.64 
80020,CN000035,Foster,Sheet Protectors,online,Standard, 81.06 
80021,CN000035,Foster,Skate Helmets,online,Standard, 412.68 
80022,CN000035,Foster,Tent Poles & Stakes,online,Standard, 686.16 
80023,CN000035,Foster,TV & Monitor Mounts,online,Standard, 746.10 
80024,CN000035,Foster,UPS Batteries,online,Standard, 389.80 
80025,CN000035,Foster,USB Flash Drives,online,Standard, 586.62 
80026,CN000035,Foster,Woodwind Polishing Cloths,online,Standard, 153.01 
80027,CN000039,Schmidt,Melodicas,online,Standard, 69.57 
80028,CN000052,Castillo,Drawing & Painting Kits,store,Standard, 258.16 
80029,CN000052,Castillo,Sewing Patterns,store,Standard, 64.16 
80030,CN000053,Wintle,Music Stand Bags,online,Standard, 455.00 
80031,CN000059,Schneider,Basketball Nets,online,Standard, 528.00 
