ID,CustNum,Last Name,Product Name,Transaction Type,Innovative, Total Sales 
90001,CN000109,Fierro,Autographed Sports Paraphernalia,online,Standard, 55.80 
90002,CN000109,Fierro,ErgoPlus Office Chair (Innovative),store,Innovative," 13,872.00 "
90003,CN000109,Fierro,ErgoPlus Stool (Innovative),store,Innovative," 2,067.00 "
90004,CN000109,Fierro,Graphics Tablets,store,Standard, 398.16 
90005,CN000109,Fierro,Inner Tents,online,Standard, 544.61 
90006,CN000109,Fierro,Memory Foam Seat Cushion (Innovative),store,Innovative, 600.72 
90007,CN000109,Fierro,Sewing Baskets & Kits,online,Standard, 63.30 
90008,CN000109,Fierro,Sewing Machine Replacement Parts,online,Standard, 49.41 
90009,CN000109,Fierro,Special Pens,store,Standard, 387.76 
90010,CN000109,Fierro,TV Replacement Speakers,store,Standard, 157.58 
90011,CN000114,Drdla,Beading Patterns,online,Standard, 342.04 
90012,CN000114,Drdla,Printer Drums & Drum Kits,online,Standard, 180.06 
90013,CN000114,Drdla,Thimbles & Sewing Palms,online,Standard, 325.00 
90014,CN000114,Drdla,Toy Craft Kits,store,Standard, 556.92 
90015,CN000114,Drdla,Violins,online,Standard, 112.53 
90016,CN000119,Logan,Air Mattress & Sleeping Pad Accessories,online,Standard, 153.32 
90017,CN000119,Logan,Air Mattresses,store,Standard, 459.62 
90018,CN000119,Logan,Alto & Baritone Horns,online,Standard, 266.73 
90019,CN000119,Logan,Art & Craft Paper,online,Standard, 140.30 
90020,CN000119,Logan,Audio Cards & Adapters,online,Standard, 480.10 
