ID,CustNum,Last Name,Product Name,Transaction Type,Innovative, Total Sales 
50001,CN000032,Estrada,Marker Refills,online,Standard, 163.52 
50002,CN000032,Estrada,Markers,online,Standard, 257.80 
50003,CN000032,Estrada,Melodicas,store,Standard, 43.36 
50004,CN000032,Estrada,Memory Foam Seat Cushion (Innovative),online,Innovative," 7,307.82 "
50005,CN000032,Estrada,Mice & Trackball Accessories,online,Standard," 2,131.10 "
50006,CN000032,Estrada,Microphone Preamps,online,Standard, 207.92 
50007,CN000032,Estrada,MIDI Controllers,online,Standard, 835.52 
50008,CN000032,Estrada,Mobile Phone Batteries,online,Standard, 142.77 
50009,CN000032,Estrada,Mobile Phone Camera Accessories,online,Standard, 250.92 
50010,CN000032,Estrada,Mobile Phone Charms & Straps,online,Standard," 1,227.47 "
50011,CN000032,Estrada,Mobile Phone Pocket Tripod (Innovative),online,Innovative," 3,175.27 "
50012,CN000032,Estrada,Mobile Phone Stands,online,Standard, 634.40 
50013,CN000032,Estrada,Motherboards,online,Standard, 799.44 
50014,CN000032,Estrada,MP3 Player Cases,online,Standard, 724.36 
50015,CN000032,Estrada,Music Stand Bags,online,Standard, 361.10 
50016,CN000032,Estrada,Music Stand Lights,online,Standard, 251.25 
50017,CN000032,Estrada,Musical Amplifier Cabinets,online,Standard, 59.70 
50018,CN000032,Estrada,Musical Amplifier Covers,online,Standard, 601.16 
50019,CN000032,Estrada,Musical Amplifier Footswitches,store,Standard, 135.06 
50020,CN000032,Estrada,Musical Amplifier Stands,online,Standard," 1,056.18 "
50021,CN000032,Estrada,Musical Amplifier Tubes,online,Standard, 192.20 
50022,CN000032,Estrada,Musical Keyboard Stands,online,Standard, 298.08 
50023,CN000032,Estrada,Musical Pipes,online,Standard," 1,772.48 "
50024,CN000032,Estrada,"Needle, Pin & Hook Organizers",online,Standard, 29.04 
50025,CN000032,Estrada,Needlecraft Kits,online,Standard, 292.19 
50026,CN000032,Estrada,Needlecraft Patterns,online,Standard, 194.07 
50027,CN000032,Estrada,Needles & Hooks,online,Standard, 177.90 
50028,CN000032,Estrada,Noise Gates & Compressors,online,Standard, 453.46 
50029,CN000032,Estrada,Numeric Keypads,online,Standard, 839.74 
50030,CN000032,Estrada,Outdoor Shower Box (Innovative),online,Innovative, 98.99 
50031,CN000032,Estrada,PDA Accessories,online,Standard, 444.08 
50032,CN000032,Estrada,Pencils,online,Standard, 29.89 
50033,CN000032,Estrada,Percussion Mallets,online,Standard, 355.96 
